paper_id,title,abstract,keywords,relevance,relevance_reason,tags,research_question,method,key_claim_about_representation,notes
P0092,Language-dependent pitch encoding advantage in the brainstem is not limited to acceleration rates that occur in natural speech,"Experience-dependent enhancement of neural encoding of pitch in the auditory brainstem has been observed for only specific portions of native pitch contours exhibiting high rates of pitch acceleration, irrespective of speech or nonspeech contexts. This experiment allows us to determine whether this language-dependent advantage transfers to acceleration rates that extend beyond the pitch range of natural speech. Brainstem frequency-following responses (FFRs) were recorded from Chinese and English participants in response to four, 250-ms dynamic click-train stimuli with different rates of pitch acceleration. The maximum pitch acceleration rates in a given stimulus ranged from low (0.3 Hz/ms; Mandarin Tone 2) to high (2.7 Hz/ms; 2 octaves). Pitch strength measurements were computed from the FFRs using autocorrelation algorithms with an analysis window centered at the point of maximum pitch acceleration in each stimulus. Between-group comparisons of pitch strength revealed that Chinese exhibit more robust pitch representation than English across all four acceleration rates. Regardless of language group, pitch strength was greater in response to acceleration rates within or proximal to natural speech relative to those beyond its range. Though both groups showed decreasing pitch strength with increasing acceleration rates, pitch representations of the Chinese group were more resistant to degradation. FFR spectral data were complementary across acceleration rates. These findings demonstrate that perceptually salient pitch cues associated with lexical tone influence brainstem pitch extraction not only in the speech domain, but also in auditory signals that clearly fall outside the range of dynamic pitch that a native listener is exposed to. (C) 2010 Elsevier Inc. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0093,Functional ear (a)symmetry in brainstem neural activity relevant to encoding of voice pitch: A precursor for hemispheric specialization?,"Pitch processing is lateralized to the right hemisphere; linguistic pitch is further mediated by left cortical areas. This experiment investigates whether ear asymmetries vary in brainstem representation of pitch depending on linguistic status. Brainstem frequency-following responses (FFRs) were elicited by monaural stimulation of the left and right ear of 15 native speakers of Mandarin Chinese using two synthetic speech stimuli that differ in linguistic status of tone. One represented a native lexical tone (Tone 2: 12); the other, T2', a nonnative variant in which the pitch contour was a mirror image of T2 with the same starting and ending frequencies. Two 40-ms portions of f(0) contours were selected in order to compare two regions (R1, early: R2 late) differing in pitch acceleration rate and perceptual saliency. In R2, linguistic status effects revealed that T2 exhibited a larger degree of FFR rightward ear asymmetry as reflected in f(0) amplitude relative to T2'. Relative to midline (ear asymmetry = 0), the only ear asymmetry reaching significance was that favoring left ear stimulation elicited by T2'. By left- and right-ear stimulation separately, FFRs elicited by T2 were larger than T2' in the right ear only. Within T2', FFRs elicited by the earlier region were larger than the later in both ears. Within T2, no significant differences in FFRS were observed between regions in either ear. Collectively, these findings support the idea that origins of cortical processing preferences for perceptually-salient portions of pitch are rooted in early, preattentive stages of processing in the brainstem. (C) 2011 Elsevier Inc. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0094,Time-driven effects on parsing during reading,"The phonological trace of perceived words starts fading away in short-term memory after a few seconds. Spoken utterances are usually 2-3 s long, possibly to allow the listener to parse the words into coherent prosodic phrases while they still have a clear representation. Results from this brain potential study suggest that even during silent reading, words are organized into 2-3 s long 'implicit' prosodic phrases. Participants read the same sentences word by word at different presentation rates. Clause-final words occurring at multiples of 2-3 s from sentence onset yielded increased positivity, irrespective of presentation rate. The effect was interpreted as a closure positive shift (CPS), reflecting insertion of implicit prosodic phrase boundaries every 2-3 s. Additionally, in participants with low working memory span, clauses over 3 s long produced a negativity, possibly indicating increased working memory load. (C) 2012 Elsevier Inc. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0095,Achieving constancy in spoken word identification: Time course of talker normalization,"This event-related potential (ERP) study examines the time course of context-dependent talker normalization in spoken word identification. We found three ERP components, the N1 (100-220 ms), the N400 (250-500 ms) and the Late Positive Component (500-800 ms), which are conjectured to involve (a) auditory processing, (b) talker normalization and lexical retrieval, and (c) decisional process/lexical selection respectively. Talker normalization likely occurs in the time window of the N400 and overlaps with the lexical retrieval process. Compared with the nonspeech context, the speech contexts, no matter whether they have semantic content or not, enable listeners to tune to a talker's pitch range. In this way, speech contexts induce more efficient talker normalization during the activation of potential lexical candidates and lead to more accurate selection of the intended word in spoken word identification. (c) 2013 Elsevier Inc. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0096,Cortical pitch response components show differential sensitivity to native and nonnative pitch contours,"The aim of this study is to evaluate how nonspeech pitch contours of varying shape influence latency and amplitude of cortical pitch-specific response (CPR) components differentially as a function of language experience. Stimuli included time-varying, high rising Mandarin Tone 2 (T2) and linear rising ramp (Linear), and steady-state (Flat). Both the latency and magnitude of CPR components were differentially modulated by (i) the overall trajectory of pitch contours (time-varying vs. steady-state), (ii) their pitch acceleration rates (changing vs. constant), and (iii) their linguistic status (lexical vs. non-lexical). T2 elicited larger amplitude than Linear in both language groups, but size of the effect was larger in Chinese than English. The magnitude of CPR components elicited by T2 were larger for Chinese than English at the right temporal electrode site. Using the CPR, we provide evidence in support of experience-dependent modulation of dynamic pitch contours at an early stage of sensory processing. (C) 2014 Elsevier Inc. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0097,Word tones cueing morphosyntactic structure: Neuroanatomical substrates and activation time-course assessed by EEG and fMRI,"Previous studies distinguish between right hemisphere-dominant processing of prosodic/tonal information and left-hemispheric modulation of grammatical information as well as lexical tones. Swedish word accents offer a prime testing ground to better understand this division. Although similar to lexical tones, word accents are determined by words' morphosyntactic structure, which enables listeners to use the tone at the beginning of a word to predict its grammatical ending. We recorded electrophysiological and hemodynamic brain responses to words where stem tones matched or mismatched inflectional suffixes. Tones produced brain potential effects after 136 ms, correlating with subject variability in average BOLD in left primary auditory cortex, superior temporal gyrus, and inferior frontal gyrus. Invalidly cued suffixes activated the left inferior parietal lobe, arguably reflecting increased processing cost of their meaning. Thus, interaction of word accent tones with grammatical morphology yielded a rapid neural response correlating in subject variability with activations in predominantly left-hemispheric brain areas. (C) 2015 The Authors. Published by Elsevier Inc.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0098,Neural encoding of the speech envelope by children with developmental dyslexia,"Developmental dyslexia is consistently associated with difficulties in processing phonology (linguistic sound structure) across languages. One view is that dyslexia is characterised by a cognitive impairment in the ""phonological representation"" of word forms, which arises long before the child presents with a reading problem. Here we investigate a possible neural basis for developmental phonological impairments. We assess the neural quality of speech encoding in children with dyslexia by measuring the accuracy of low-frequency speech envelope encoding using EEG. We tested children with dyslexia and chronological age-matched (CA) and reading-level matched (RL) younger children. Participants listened to semantically-unpredictable sentences in a word report task. The sentences were noise-vocoded to increase reliance on envelope cues. Envelope reconstruction for envelopes between 0 and 10 Hz showed that the children with dyslexia had significantly poorer speech encoding in the 0-2 Hz band compared to both CA and RL controls. These data suggest that impaired neural encoding of low frequency speech envelopes, related to speech prosody, may underpin the phonological deficit that causes dyslexia across languages. (C) 2016 The Authors. Published by Elsevier Inc.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0099,Differential sensitivity to changes in pitch acceleration in the auditory brainstem and cortex,"The cortical pitch-specific response (CPR) is differentially sensitive to pitch contours varying in rate of accelerationtime-time-variant Mandarin Tone 2 (T2) versus constant, linear rising ramp (Linear)-as a function of language experience (Krishnan, Gandour, & Suresh, 2014). CPR and brainstem frequency following response (FFR) data were recorded concurrently from native Mandarin listeners using the same stimuli. Results showed that T2 elicited larger responses than Linear at both cortical and brainstem levels (CPR: Na-Pb, Pb-Nb; FFR). However, Pb-Nb exhibited a larger difference in magnitude between T2 and Linear than either Na-Pb or FFR. This finding highlights differential weighting of brain responses elicited by a specific temporal attribute of pitch. Consistent with the notion of a distributed, integrated hierarchical pitch processing network, temporal attributes of pitch are differentially weighted by subcortical and cortical level processing. (C) 2017 Elsevier Inc. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0100,Are lexical tones musical? Native language's influence on neural response to pitch in different domains,"Language experience shapes musical and speech pitch processing. We investigated whether speaking a lexical tone language natively modulates neural processing of pitch in language and music as well as their correlation. We tested tone language (Mandarin Chinese), and non-tone language (Dutch) listeners in a passive oddball paradigm measuring mismatch negativity (MMN) for (i) Chinese lexical tones and (ii) three-note musical melodies with similar pitch contours. For lexical tones, Chinese listeners showed a later MMN peak than the non tone language listeners, whereas for MMN amplitude there were no significant differences between groups. Dutch participants also showed a late discriminative negativity (LDN). In the music condition two MMNs, corresponding to the two notes that differed between the standard and the deviant were found for both groups, and an LDN were found for both the Dutch and the Chinese listeners. The music MMNs were significantly right lateralized. Importantly, significant correlations were found between the lexical tone and the music MMNs for the Dutch but not the Chinese participants. The results suggest that speaking a tone language natively does not necessarily enhance neural responses to pitch either in language or in music, but that it does change the nature of neural pitch processing: non-tone language speakers appear to perceive lexical tones as musical, whereas for tone language speakers, lexical tones and music may activate different neural networks. Neural resources seem to be assigned differently for the lexical tones and for musical melodies, presumably depending on the presence or absence of long-term phonological memory traces.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0101,The neurocognitive signature of focus alternatives,"Focus alternatives are words/phrases that can substitute for the focused constituent of an utterance. In ""Carsten has picked [CHERRIES](F) from the tree."", (marked by pitch focus on cherries), the speaker wants to not only convey the fact that Carsten has picked cherries, but also to contrast cherries with other fruit that could have been picked, such as plums. Although focus alternatives are key to understanding the implicit aspects of an utterance, nothing is known about their neural representation. We directly contrasted neural representations of lexicosemantic similarity and focus alternative status using fMRI. Semantic relatedness was reflected in decreased activation in the bilateral superior temporal gyri. By contrast, processing of focus alternatives induced increased activations in the precuneus and the fronto-median wall, two regions previously implicated in discourse processing. These results suggest that focus alternative status is processed separately from semantic relatedness, at the level of discourse integration.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0102,Neural correlates and functional connectivity of lexical tone processing in reading,"Lexical tone processing in speech is mediated by bilateral superior temporal and inferior prefrontal regions, but little is known concerning the neural circuitries of lexical tone phonology in reading. Using fMRI, we examined the neural systems for lexical tone in visual Chinese word recognition. We found that the extraction of lexical tone phonology in print was subserved by bilateral fronto-parietal regions. Seed-to-voxel analyses showed that functionally connected cortical regions involved right inferior frontal gyrus and SMA, right middle frontal gyrus and right inferior parietal lobule, and SMA and bilateral cingulate gyri. Our results indicate that in Chinese tone reading, a bilateral network of frontal, parietal, motor, and cingulate regions is engaged, without involvement of temporal regions crucial for tone identification in auditory domain. Although neural couplings for lexical tone processing are different in speech and reading to some degree, the motor cortex seems to be a key component independent of modality.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0103,English and Mandarin native speakers? cue-weighting of lexical stress: Results from MMN and LDN,"Past research on how listeners weight stress cues such as pitch, duration and intensity has reported two inconsistent patternss: listeners' weighting conforms to 1) their native language experience (e.g., language rhythmicity, lexical tone), and 2) a general ""iambic-trochaic law"" (ITL), favouring innate sound groupings in cue perception. This study aims to tease apart the above effects by investigating the weighting of pitch, duration and intensity cues in stress-timed (Australian English) and non-stress-timed and tonal (Taiwan Mandarin) language speaking adults using a mismatch negativity (MMN) multi-feature paradigm. Results show effects that can be explained by language-specific rhythmic influence, but only partially by the ITL. Moreover, these findings revealed cross-linguistic differences indexed by both MMN and late discriminative negativity (LDN) responses at cue and syllable position levels, and thus call for more sophisticated perspectives for existing cue-weighting models.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0104,Observing gesture at learning enhances subsequent phonological and semantic processing of L2 words: An N400 study,"This study employed the N400 event-related potential (ERP) to investigate how observing different types of gestures at learning affects the subsequent processing of L2 Mandarin words differing in lexical tone by L1 English speakers. The effects of pitch gestures conveying lexical tones (e.g., upwards diagonal movements for rising tone), semantic gestures conveying word meanings (e.g., waving goodbye for to wave), and no gesture were compared. In a lexical tone discrimination task, larger N400s for Mandarin target words mismatching vs. matching Mandarin prime words in lexical tone were observed for words learned with pitch gesture. In a meaning discrimination task, larger N400s for English target words mismatching vs. matching Mandarin prime words in meaning were observed for words learned with pitch and semantic gesture. These findings provide the first neural evidence that observing gestures during L2 word learning enhances subsequent phonological and semantic processing of learned L2 words.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0105,The advantage of the music-enabled brain in accommodating lexical tone variabilities,"The perception of multiple-speaker speech is challenging. People with music training generally show more robust and faster tone perception. The present study investigated whether music training experience can facilitate tonal language speakers to accommodate speech variability in lexical tones. Native Cantonese musicians and non musicians were asked to identify Cantonese level tones from multiple speakers. Two groups were equally well in using context cues to normalize lexical tone variability at behavioral level. However, the advantage of music training was observed at cortical level. The time-domain ERP analysis suggested that musicians normalized lexical tone variability much earlier than nonmusicians (N1: 70-175 ms vs. P2: 175-280 ms). An exploratory source analysis further revealed that two groups probably relied on different cortical regions to normalize lexical tones. Left BA41 showed stronger involvement in musicians in accommodating tone variability, but right auditory cortex (including BA 41, 42 and 22) activated to a greater extend in nonmusicians.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0106,Sensory contributions to impaired prosodic processing in schizophrenia,"Background: Deficits in affect recognition are prominent features of schizophrenia. Within the auditory domain, patients show difficulty in interpreting vocal emotional cues based on intonation (prosody). The relationship of these symptoms to deficits in basic sensory processing has not been previously evaluated. Methods: Forty-three patients and 34 healthy comparison subjects were tested on two affective prosody measures: voice emotion identification and voice emotion discrimination. Basic auditory sensdory processing was measured using a tone-matching paradigm and the Distorted Tunes Test (DTT). A subset of subjects was also tested on facial affect identification and discrimination tasks. Results: Patients showed significantly impaired performance on all all emotion processing tasks. Within the patient group, a principal components analysis demonstrated significant intercorrelations between basic pitch perception and affective prosodic performance. In contrast, facial affect recognition deficits represented a distinct second component. Prosodic affect measures correlated significantly with severity of negative symptoms and impaired global outcome. Conclusions: These results demonstrate significant relationships between basic auditory processing deficits and impaired receptive prosody in schizophrenia. The separate loading of auditory and visual affective recognition measures suggests that within-modality factors may be more significant than cross-modality factors in the etiology of affect recognition deficits in schizophrenia.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0107,Subgroup differences in the lexical tone mismatch negativity (MMN) among Mandarin speakers with congenital amusia,"The association/dissociation of pitch processing between music and language is a long lasting debate. We examined this music-language relationship by investigating to what extent pitch deficits in these two domains were dissociable. We focused on a special neurodevelopmental pitch disorder congenital amusia, which primarily affects musical pitch processing. Recent research has also revealed lexical tone deficits in speech among amusics. Approximately one-third of Mandarin amusics exhibits behavioural difficulties in lexical tone perception, which is known as tone agnosia. Using mismatch negativities (MMNs), our current work probed lexical tone encoding at the pre-attentive level among the Mandarin amusics with (tone agnosics) and without (pure amusics) behavioural lexical tone deficits compared with age- and IQ-matched controls. Relative to the controls and the pure amusics, the tone agnosics exhibited reduced MMNs specifically in response to lexical tone changes. Their tone-consonant MMNs were intact and similar to those of the other two groups. Moreover, the tone MMN reduction over the left hemisphere was tightly linked to behavioural insensitivity to lexical tone changes. The current study thus provides the first psychophysiological evidence of subgroup differences in lexical tone processing among Mandarin amusics and links amusics' behavioural tone deficits to impaired pre-attentive tone processing. Despite the overall music pitch deficits, the subgroup differences in lexical tone processing in Mandarin-speaking amusics suggest dissociation of pitch deficits between music and speech. (C) 2015 Elsevier B.V. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0108,The linearity of emergent spectro-temporal receptive fields in a model of auditory cortex,"The responses of cortical neurons are often characterized by measuring their spectro-temporal receptive fields (STRFs). The STRIP of a cell can be thought of as a representation of its stimulus 'preference' but it is also a filter or 'kernel' that represents the best linear prediction of the response of that cell to any stimulus. A range of in vivo STRFs with varying properties have been reported in various species, although none in humans. Using a computational model it has been shown that responses of ensembles of artificial STRFs, derived from limited sets of formative stimuli, preserve information about utterance class and prosody as well as the identity and sex of the speaker in a model speech classification system. In this work we help to put this idea on a biologically plausible footing by developing a simple model thalamo-cortical system built of conductance based neurons and synapses some of which exhibit spike-time-dependent plasticity. We show that the neurons in such a model when exposed to formative stimuli develop STRFs with varying temporal properties exhibiting a range of heterotopic integration. These model neurons also, in common with neurons measured in vivo, exhibit a wide range of non-linearities; this deviation from linearity can be exposed by characterizing the difference between the measured response of each neuron to a stimulus, and the response predicted by the STRF estimated for that neuron. The proposed model, with its simple architecture, learning rule, and modest number of neurons (< 1000), is suitable for implementation in neuromorphic analogue VLSI hardware and hence could form the basis of a developmental, real time, neuromorphic sound classification system. (C) 2008 Elsevier Ireland Ltd. All rights reserved.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0109,Individuals with congenital amusia do not show context-dependent perception of tonal categories,"Perceptual adaptation is an active cognitive process where listeners re-analyse speech categories based on new contexts/situations/talkers. It involves top-down influences from higher cortical levels on lower-level auditory processes. Individuals with congenital amusia have impaired pitch processing with reduced connectivity between frontal and temporal regions. This study examined whether deficits in amusia would lead to impaired perceptual adaptation in lexical tone perception. Thirteen Mandarin-speaking amusics and 13 controls identified the category of target tones on an 8-step continuum ranging from rising to high-level, either in isolation or in a high-/ low-pitched context. For tones with no context, amusics exhibited reduced categorical perception than controls. While controls? lexical tone categorization demonstrated a significant context effect due to perceptual adaptation, amusics showed similar categorization patterns across both contexts. These findings suggest that congenital amusia impacts the extraction of context-dependent tonal categories in speech perception, indicating that perceptual adaptation may depend on listeners? perceptual acuity.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0110,Lexical tonal discrimination in Zapotec children. A study of the theta rhythm,"Background: Zapotec is a language used mainly in the state of Oaxaca in Mexico of tonal characteristic; homophone words with difference in fundamental frequency with different meanings. Our objective was to analyze changes in the electroencephalographic (EEG) theta rhythm during word discrimination of lexical tonal bi-syllabic homophone word samples of Zapotec. Methods: We employed electroencephalography analysis during lexical tonal discrimination in 12 healthy subjects 9-16 years of age. Results: We observed an increase in theta relative power between lexical discrimination and at rest eyes-open state in right temporal site. We also observed several significant intra- and inter-hemispheric correlations in several scalp sites, mainly in left fronto-temporal and right temporal areas when subjects were performing lexical discrimination. Conclusions: Our data suggest more engagement of neural networks of the right hemisphere are involved in Zapotec language discrimination. (C) 2015 Hospital Infantil de Mexico Federico Gomez. Published by Masson Doyma Mexico S.A.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0111,Mismatch negativity to pitch contours is influenced by language experience,"A cross-language study utilizing the mismatch negativity (MMN) evoked response was conducted to explore the influence of language experience on the preattentive cortical processing of linguistically relevant pitch contours. Chinese and English subjects were presented with Mandarin Chinese tones while the mismatch negativity (MMN) response was elicited using a passive oddball paradigm. Two oddball conditions were constructed with a common deviant, a low falling rising contour tone (T3). One condition consisted of two tones that are acoustically similar to one another (T2/T3: T2, high rising contour= standard). The other condition consisted of two tones that are acoustically dissimilar to one another (T1/T3: T1, high level= standard). These tonal pairs enabled us to assess whether different degrees of similarity between pitch movements exert a differential influence on preattentive pitch processing. Results showed that the mean MMN amplitude of the Chinese group was larger than that of the English group for the T1/T3 condition. No group differences were found for the T2/T3 condition. The mean MMN amplitude was larger for the T1/T3 relative to the T2/T3 condition for the Chinese group only. By virtue of these language group differences, we infer that early cortical processing of pitch contours may be shaped by the relative saliency of acoustic dimensions underlying the pitch patterns of a particular language. (c) 2006 Elsevier B.V. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0112,Effects of native language and training on lexical tone perception: An event-related potential study,"Tone languages such as Thai use pitch differences to distinguish lexical meaning. Previous behavioral studies have reported that naive listeners can discriminate among lexical tones, but that native language background affects performance. The present study uses ERPs to determine whether native speakers of a tone language (Mandarin Chinese) and of a nontone language (English) differ in their pre-attentive discrimination among Thai lexical tones, and whether training has a different effect in these two language groups. EEGs were obtained from 10 native Mandarin Chinese speakers, 10 English and 10 Thai speakers in an oddball paradigm: The Thai syllable [k(h)a:] pronounced with a high rising or low falling tone, was presented as an infrequent deviant amidst a standard mid level tone [k(h)a] syllable, while participants watched a silent movie. Next, the Chinese and English participants completed a 2-day perceptual identification training on the mid level and low falling tones, and returned for a post training EEG. The low falling tone deviant elicited a Mismatch Negativity (MMN) in all participant groups before and after training; the high rising deviant elicited no, or a smaller, MMN, which became larger after training only in the English group. The high rising deviant also elicited a later negativity (350-650 ms) versus the mid level standard, which decreased after training in the Chinese group. These results suggest that non-Thai speakers can pre-attentively discriminate among Thai tones, but are sensitive to different physical properties of the tones, depending on their native language. English speakers are more sensitive to early pitch differences, whereas native speakers of Mandarin Chinese are more sensitive to the (later) pitch contour. (c) 2007 Elsevier B.V. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0113,Lateralization of tonal and intonational pitch processing: An MEG study,"An MEG experiment was carried out in order to compare the processing of lexical-tonal and intonational contrasts, based on the tonal dialect of Roermond (the Netherlands). A set of words with identical phoneme sequences but distinct pitch contours, which represented different lexical meanings or discourse meanings (statement vs. question), were presented to native speakers as well as to a control group of speakers of Standard Dutch, a non-tone language. The stimuli were arranged in a mismatch paradigm, under three experimental conditions: in the first condition (lexical), the pitch contour differences between standard and deviant stimuli reflected differences between lexical meanings; in the second condition (intonational), the stimuli differed in their discourse meaning; in the third condition (combined), they differed both in their lexical and discourse meaning. In all three conditions, native as well as non-native responses showed a clear MMNm (magnetic mismatch negativity) in a time window from 150 to 250 ms after the divergence point of standard and deviant pitch contours. In the lexical condition, a stronger response was found over the left temporal cortex of native as well as non-native speakers. In the intonational condition, the same activation pattern was observed in the control group, but not in the group of native speakers, who showed a right-hemisphere dominance instead. Finally, in the combined (lexical and intonational) condition, brain reactions appeared to represent the summation of the patterns found in the other two conditions. In sum, the lateralization of pitch processing is condition-dependent in the native group only, which suggests that language experience determines how processes should be distributed over both temporal cortices, according to the functions available in the grammar. (C) 2010 Elsevier B.V. All rights reserved.",,Yes,The paper investigates lexical tone in relation to intonation or prosodic context.,,,,,
P0114,Word accents and morphology-ERPs of Swedish word processing,"Results indicating that high stem tones realizing word accents activate a certain class of suffixes in online processing of Central Swedish are presented. This supports the view that high Swedish word accent tones are induced onto word stems by particular suffixes rather than being associated with words in the mental lexicon. Using event-related potentials, effects of mismatch between word accents and inflectional suffixes were compared with mismatches between stem and suffix in terms of declension class. Declensionally incorrect suffixes yielded an increase in the N400, indicating problems in lexical retrieval, as well as a P600 effect, showing reanalysis. Both declensionally correct and incorrect high tone-inducing (Accent 2) suffixes combined with a mismatching low tone (Accent 1) on the stems produced P600 effects, but did not increase the N400. Suffixes usually co-occurring with Accent 1 did not yield any effects in words realized with the nonmatching Accent 2, suggesting that Accent 1 is a default accent, lacking association with any particular suffix. High tones on Accent 2 words also produced an early anterior positivity, interpreted as a P200 effect reflecting preattentive processing of the tone. (C) 2010 Elsevier B.V. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0115,An event-related potential investigation of lexical pitch-accent processing in auditory Japanese,"Lexical prosody plays an important role in speech comprehension. However, the electrophysiological nature and time course of processing lexical prosody in mora-timed languages are rarely known in contrast to the wealth of knowledge in stress-timed languages and syllable-timed languages like German and French. In the present study, lexical pitch-accent processing in Japanese is investigated using event-related potentials. Participants listened to sentences with verbs either correct or incorrect with respect to pitch-accent (phonological condition), word meaning (semantic condition) or sentence type (syntactic condition). When the brain potentials of correct and incorrect sentences were compared within conditions, the phonological and semantic conditions showed a negativity and positivity (P600), while the syntactic condition displayed a P600. Furthermore, the negativity in response to pitch-accent violations (pitch-accent negativity) appeared approximately 60 ms earlier than the response to semantic violations (N400), while no significant topographical distributions were found between the two components. These results suggest that the pitch-accent negativity reflects initial phonological processing followed by lexical access and word recognition. Moreover, the P600 displayed in all conditions was interpreted as a general integration process that is common across the three domains. (C) 2011 Elsevier B.V. All rights reserved.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0116,The neural generators of the mismatch responses to Mandarin lexical tones: An MEG study,"The present magnetoencephalography study used the cortically constrained minimumnorm estimates of human brain activity to elucidate functional roles of neural generators for detecting different magnitudes of lexical tones changes. A multiple-deviant oddball paradigm was used in which the syllable ""yi"" with a low-dipping tone (T3) was the common standard sound and the same syllable with a high-level tone (T1) or a high-rising tone (T2) were the large and small deviant sounds, respectively. The data revealed a larger magnetic Mismatch field (MMNm) for large deviant in the left hemisphere. The source analysis also confirmed that the MMNm to lexical tone changes was generated in bilateral superior temporal gyri and only the large deviant revealed left lateralization. A set of frontal generators was activated at a later time and revealed differential sensitivities to the degree of deviance. The left anterior insula, the right anterior cingulate cortex, and the right ventral orbital frontal cortex were activated when detecting a large deviant, whereas the right frontal-opercular region was sensitive to the small deviant. These frontal generators were thought to be associated with various top-down mechanisms for attentional modulation. The time frequency (TF) analysis showed that large deviants yielded large theta band (5-7 Hz) activity over the left anterior scalp and the left central scalp, while small deviants yielded large alpha band activity (9-11 Hz) over the posterior scalp. The results of TF analyses implied that mechanisms of working memory and functional inhibition involved in the processes of acoustic change detection. (C) 2014 Elsevier B.V. All rights reserved.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0117,Effects of production training and perception training on lexical tone perception - A behavioral and ERP study,"The present study recorded both behavioral data and event-related brain potentials to examine the effectiveness of a perception-only training and a perception-plus-production training procedure on the intentional and unintentional perception of lexical tone by native English listeners. In the behavioral task, both the perception-only and the perception-plus-production groups improved on the tone discrimination abilities after the training session. Moreover, the participants in both groups generalized the improvements gained through the trained stimuli to the untrained stimuli. In the ERP task, the Mismatch Negativity was smaller in the post-training task than in the pre-training task. However, the two training groups did not differ in tone processing at the intentional or unintentional level after training. These results suggest that the employment of the motor system does not specifically benefit the tone perceptual skills. Furthermore, the present study investigated whether some tone pairs are more easily confused than others by native English listeners, and whether the order of tone presentation influences non-native tone discrimination. In the behavioral task, Tone2-Tone1 (rising-level) and Tone2-Tone4 (rising-falling) were the most difficult tone pairs, while Tone1-Tone2 and Tone4-Tone2 were the easiest tone pairs, even though they involved the same tone contrasts respectively. In the ERP task, the native English listeners had good discrimination when Tone2 and Tone4 were embedded in strings of Tone1, while poor discrimination when Tone1 was inserted in the context of Tone2 or Tone4. These asymmetries in tone perception might be attributed to the interference of native intonation system and can be altered by training. (C) 2015 Elsevier B.V. All rights reserved.",,Yes,The paper investigates lexical tone in relation to intonation or prosodic context.,,,,,
P0118,Toward assessment of human voice biomarkers of brain lesions through explainable deep learning,"Lesions in the brain resulting from traumatic injuries or strokes can evolve into speech dysfunction in undiagnosed patients. Employing ML-based tools to analyze the prosody or articulatory phonetics of human speech could be advantageous for early screening of undetected brain injuries. Additionally, explaining the model's decision-making process can support predictions and take appropriate measures to improve patient voice quality. However, traditional ML methods relying on low-level descriptors (LLDs) may sacrifice detailed temporal dynamics and other speech characteristics. Interpreting these descriptors can also be challenging, requiring significant effort to understand feature relationships and suitable ranges. To address these limitations, this research paper introduces xDMFCCs, a method that identifies interpretive discriminatory acoustic biomarkers from a single speech utterance, providing local and global interpretations of deep learning models in speech applications. To validate this approach, it was implemented to interpret a Convolutional Neural Network (CNN) trained on Mel-frequency Cepstral Coefficients (MFCC) for the binary classification task to differentiate between patients from control vocalizations. The ConvNet achieved promising results with a 75% f-score (75% recall, 76% precision), comparable to conventional machine learning baselines. What sets xDMFCCs apart is its explanation through a 2D time-frequency representation that preserves the complete speech signal. This representation offers a more transparent explanation for differentiating between patients and healthy controls, enhancing interpretability. This advancement enables more detailed and compelling studies in speech acoustic traits of brain lesions. Furthermore, the findings have significant implications for developing low-cost and rapid diagnostics of unnoticed brain lesions.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
